id,CHN201705040
version,2
info,visteam,PHI
info,hometeam,CHN
info,site,CHI11
info,date,2017/05/04
info,number,0
info,starttime,1:22PM
info,daynight,day
info,usedh,false
info,umphome,belld901
info,ump1b,hudsm901
info,ump2b,basnt901
info,ump3b,estam901
info,howscored,park
info,pitches,pitches
info,oscorer,frisd701
info,temp,48
info,winddir,fromcf
info,windspeed,15
info,fieldcond,unknown
info,precip,unknown
info,sky,overcast
info,timeofgame,262
info,attendance,36394
info,wp,uehak001
info,lp,rodrj004
info,save,
start,hernc005,"Cesar Hernandez",0,1,4
start,altha001,"Aaron Altherr",0,2,7
start,herro001,"Odubel Herrera",0,3,8
start,franm004,"Maikel Franco",0,4,5
start,saunm001,"Michael Saunders",0,5,9
start,joset001,"Tommy Joseph",0,6,3
play,9,1,szczm001,10,B1X,13/BG/SH.1-2
play,9,1,jay-j001,31,BFB*BV,IW
play,9,1,bryak001,22,BFBS2,PO2(14)
play,9,1,bryak001,22,BFBS2.X,S7/L.1-2
play,9,1,rizza001,10,BX,13/G-
play,10,0,ruppc001,00,,NP
sub,montm002,"Mike Montgomery",1,1,1
play,10,0,ruppc001,00,,NP
sub,zobrb001,"Ben Zobrist",1,8,7
play,10,0,ruppc001,10,..BX,7/L
play,10,0,galvf001,21,BBCX,63/G
play,10,0,stasb001,22,CBCBX,23/G-
play,10,1,russa002,22,BSBCX,63/G
play,10,1,contw001,12,CCBS,K
play,10,1,almoa002,22,BBTSX,63/G
play,11,0,hernc005,01,CX,43/G-
play,11,0,altha001,32,BBSBFB,W
play,11,0,herro001,01,F1X,S16/G.1-3(E6/TH)
play,11,0,franm004,30,BBBV,IW.1-2
play,11,0,saunm001,22,BBSFC,K
play,11,0,gomej002,00,,NP
sub,blana001,"Andres Blanco",0,6,11
play,11,0,blana001,12,.CSFFBX,4/P
play,11,1,baezj001,00,,NP
sub,rodrj004,"Joely Rodriguez",0,6,1
play,11,1,baezj001,22,.MFBBS,K
play,11,1,zobrb001,32,BBCBCX,53/G
play,11,1,szczm001,00,X,4/L
play,12,0,ruppc001,32,BCFBBFX,S1/G-
play,12,0,galvf001,10,BX,9/L
play,12,0,stasb001,00,X,5/L/DP.1X1(53)
play,12,1,montm002,00,,NP
sub,heywj001,"Jason Heyward",1,1,11
play,12,1,heywj001,31,.BBCBB,W
play,12,1,bryak001,31,FB11BBB,W.1-2
play,12,1,rizza001,11,BCX,13/G.2-3;1-2
play,12,1,russa002,30,VVVV,IW
play,12,1,contw001,00,,NP
sub,kellt001,"Ty Kelly",0,5,9
play,12,1,contw001,00,.X,69(1)3/GDP
play,13,0,hernc005,00,,NP
sub,heywj001,"Jason Heyward",1,1,9
play,13,0,hernc005,00,,NP
sub,uehak001,"Koji Uehara",1,4,1
play,13,0,hernc005,00,,NP
sub,baezj001,"Javier Baez",1,7,6
play,13,0,hernc005,00,,NP
sub,zobrb001,"Ben Zobrist",1,8,4
play,13,0,hernc005,00,,NP
sub,szczm001,"Matt Szczur",1,9,7
play,13,0,hernc005,22,.....BBCSX,9/L
play,13,0,altha001,00,X,6/P7LF
play,13,0,herro001,02,FTS,K
play,13,1,almoa002,00,,NP
sub,altha001,"Aaron Altherr",0,2,9
play,13,1,almoa002,00,,NP
sub,kellt001,"Ty Kelly",0,5,7
play,13,1,almoa002,11,..CBX,D7/L
play,13,1,baezj001,00,X,13/G
play,13,1,zobrb001,30,VVVV,IW
play,13,1,szczm001,02,CFX,46(1)/FO/G.2-H(E6/TH)(UR)
data,er,efliz001,3
data,er,benoj001,1
data,er,gomej002,0
data,er,rodrj004,0
data,er,lackj001,3
data,er,duenb001,0
data,er,grimj002,0
data,er,strop001,0
data,er,edwac001,1
data,er,daviw001,0
data,er,montm002,0
data,er,uehak001,0
