id,CHN201708200
version,2
info,visteam,TOR
info,hometeam,CHN
info,site,CHI11
info,date,2017/08/20
info,number,0
info,starttime,1:22PM
info,daynight,day
info,usedh,false
info,umphome,fleta901
info,ump1b,wendh902
info,ump2b,may-b901
info,ump3b,westj901
info,howscored,park
info,pitches,pitches
info,oscorer,speaa701
info,temp,84
info,winddir,ltor
info,windspeed,7
info,fieldcond,unknown
info,precip,unknown
info,sky,cloudy
info,timeofgame,224
info,attendance,41459
info,wp,wilsj004
info,lp,osunr001
info,save,
start,carre001,"Ezequiel Carrera",0,1,9
start,donaj001,"Josh Donaldson",0,2,6
start,smoaj001,"Justin Smoak",0,3,3
start,bautj002,"Jose Bautista",0,4,5
start,montm001,"Miguel Montero",0,5,2
start,pillk001,"Kevin Pillar",0,6,8
play,10,0,donaj001,00,,NP
sub,jay-j001,"Jon Jay",1,8,8
play,10,0,donaj001,00,,NP
sub,uehak001,"Koji Uehara",1,1,1
play,10,0,donaj001,10,....BX,S6/G+
play,10,0,smoaj001,11,CBX,8/F
play,10,0,bautj002,00,B,OA.1-2(E2/TH)
play,10,0,bautj002,30,B.VVV,IW
play,10,0,teper001,00,,NP
sub,barnd001,"Darwin Barney",0,5,11
play,10,0,barnd001,02,.CFX,8/F
play,10,0,pillk001,22,BFFBFFX,S9/L.2-H;1-3(TH);B-2
play,10,0,goinr001,00,,NP
sub,wilsj004,"Justin Wilson",1,1,1
play,10,0,goinr001,31,.BBCB*B,W
play,10,0,aokin001,32,BBCBC>B,W.3-H;2-3;1-2
play,10,0,pears001,12,FSFFBX,8/F
play,10,1,schwk001,00,,NP
sub,donaj001,"Josh Donaldson",0,2,5
play,10,1,schwk001,00,,NP
sub,bautj002,"Jose Bautista",0,4,9
play,10,1,schwk001,00,,NP
sub,barnd001,"Darwin Barney",0,5,4
play,10,1,schwk001,00,,NP
sub,goinr001,"Ryan Goins",0,7,6
play,10,1,schwk001,00,,NP
sub,aokin001,"Nori Aoki",0,8,7
play,10,1,schwk001,00,,NP
sub,osunr001,"Roberto Osuna",0,9,1
play,10,1,schwk001,22,......BBCCS,K+WP.B-1
play,10,1,zobrb001,10,BX,S9/L.1-3
play,10,1,rizza001,10,BB,WP.3-H(NR);1-2
play,10,1,rizza001,22,BB.CFX,43/G.2-3
play,10,1,baezj001,32,BS*BFFBS,K+WP.B-1
com,"$Baez was originally credited with reaching first on a"
com,"fielder's choice; wild pitch was added on 08-21-2017"
play,10,1,heywj001,02,FF>B,SB2
play,10,1,heywj001,12,FF>B.H,HP
play,10,1,avila001,01,FX,S9/L+.3-H;2-H;1-2
data,er,estrm001,3
data,er,leond003,0
data,er,loupa001,0
data,er,teper001,0
data,er,osunr001,3
data,er,hendk001,3
data,er,duenb001,0
data,er,edwac001,0
data,er,strop001,0
data,er,daviw001,0
data,er,uehak001,2
data,er,wilsj004,0
