id,CHN201709140
version,2
info,visteam,NYN
info,hometeam,CHN
info,site,CHI11
info,date,2017/09/14
info,number,0
info,starttime,7:06PM
info,daynight,night
info,usedh,false
info,umphome,millb901
info,ump1b,addir901
info,ump2b,ticht901
info,ump3b,danlk901
info,howscored,park
info,pitches,pitches
info,oscorer,roseb701
info,temp,75
info,winddir,rtol
info,windspeed,7
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,186
info,attendance,37867
info,wp,montm002
info,lp,lugos001
info,save,
start,reyej001,"Jose Reyes",0,1,4
start,nimmb001,"Brandon Nimmo",0,2,7
start,cabra002,"Asdrubal Cabrera",0,3,5
start,smitd008,"Dominic Smith",0,4,3
start,darnt001,"Travis d'Arnaud",0,5,2
start,aokin001,"Nori Aoki",0,6,9
play,7,1,duenb001,00,,NP
sub,flexc001,"Chris Flexen",0,1,1
play,7,1,duenb001,00,,NP
sub,martl004,"Leonys Martin",1,9,11
play,7,1,martl004,00,....X,S4/G
play,7,1,jay-j001,01,FX,4(1)3/GDP
play,7,1,bryak001,32,BBSBFX,13/G
play,8,0,plawk001,00,,NP
sub,martl004,"Leonys Martin",1,9,9
play,8,0,plawk001,00,,NP
sub,penaf002,"Felix Pena",1,7,1
play,8,0,plawk001,12,..BSFS,K
play,8,0,aokin001,00,X,8/F
play,8,0,ceccg002,02,CFC,K
play,8,1,rizza001,00,,NP
sub,famij001,"Jeurys Familia",0,1,1
play,8,1,rizza001,00,,NP
sub,carav001,"Victor Caratini",1,3,11
play,8,1,carav001,11,..FBX,13/G
play,8,1,happi001,32,CBBBFS,K
play,8,1,almoa002,12,CBSS,K
play,9,0,lagaj001,00,,NP
sub,carav001,"Victor Caratini",1,3,3
play,9,0,lagaj001,10,.BX,D7/L
play,9,0,reynm003,20,BBX,9/F.2-3
play,9,0,famij001,00,,NP
sub,nidot001,"Tomas Nido",0,1,11
play,9,0,nidot001,00,.X,S7/L.3-H
play,9,0,nimmb001,12,CBFC,K
play,9,0,evanp001,00,>C,DI.1-2
play,9,0,evanp001,01,>C.X,S2/G-.2XH(21)
data,er,lugos001,7
data,er,smokj001,1
data,er,blevj001,2
data,er,sewap001,0
data,er,flexc001,0
data,er,famij001,0
data,er,tsenj001,5
data,er,montm002,0
data,er,duenb001,0
data,er,penaf002,1
