id,CHN201709130
version,2
info,visteam,NYN
info,hometeam,CHN
info,site,CHI11
info,date,2017/09/13
info,number,0
info,starttime,7:07PM
info,daynight,night
info,usedh,false
info,umphome,danlk901
info,ump1b,millb901
info,ump2b,addir901
info,ump3b,ticht901
info,howscored,park
info,pitches,pitches
info,oscorer,roseb701
info,temp,68
info,winddir,fromrf
info,windspeed,1
info,fieldcond,unknown
info,precip,unknown
info,sky,overcast
info,timeofgame,222
info,attendance,36008
info,wp,lestj001
info,lp,harvm001
info,save,
start,reyej001,"Jose Reyes",0,1,4
start,aokin001,"Nori Aoki",0,2,7
start,cabra002,"Asdrubal Cabrera",0,3,5
start,plawk001,"Kevin Plawecki",0,4,2
start,lagaj001,"Juan Lagares",0,5,8
start,rosaa003,"Amed Rosario",0,6,6
play,8,0,smitd008,21,C*B*BX,HR/89/F.2-H
play,8,0,reyej001,32,CBBBCC,K
play,8,0,aokin001,22,BCSFBX,43/G
play,8,1,martl004,00,,NP
sub,rhamj001,"Jacob Rhame",0,8,1
play,8,1,martl004,12,.CFBS,K
play,8,1,heywj001,30,BBBB,W
play,8,1,baezj001,10,BX,S8/L.1-2
play,8,1,river003,01,CX,D7/L.2-H;1-H
play,8,1,zobrb001,30,BBBB,W
play,8,1,bryak001,11,SBX,S7/G.2-3;1-2
play,8,1,rizza001,00,,NP
sub,callj001,"Jamie Callahan",0,8,1
play,8,1,rizza001,32,.BB*BCFB,W.3-H;2-3;1-2
play,8,1,almoa002,01,TX,T9/L.3-H;2-H;1-H
play,8,1,grimj002,00,,NP
sub,jay-j001,"Jon Jay",1,5,11
play,8,1,jay-j001,01,.SX,63/G.3-H
play,8,1,martl004,02,SFC,K
play,9,0,cabra002,00,,NP
sub,penaf002,"Felix Pena",1,5,1
play,9,0,cabra002,00,,NP
sub,ceccg002,"Gavin Cecchini",0,3,11
play,9,0,ceccg002,22,..FBSBS,K
play,9,0,plawk001,00,,NP
sub,nidot001,"Tomas Nido",0,4,11
play,9,0,nidot001,10,.BX,9/F
play,9,0,lagaj001,01,CX,53/G-
data,er,harvm001,5
data,er,roblh001,0
data,er,bradc002,4
data,er,mcgok001,1
data,er,rhamj001,5
data,er,callj001,2
data,er,lestj001,2
data,er,duenb001,0
data,er,strop001,0
data,er,grimj002,3
data,er,penaf002,0
