id,CHN201709020
version,2
info,visteam,ATL
info,hometeam,CHN
info,site,CHI11
info,date,2017/09/02
info,number,0
info,starttime,1:20PM
info,daynight,day
info,usedh,false
info,umphome,gonzm901
info,ump1b,carlm901
info,ump2b,buckc901
info,ump3b,culbf901
info,howscored,park
info,pitches,pitches
info,oscorer,frisd701
info,temp,71
info,winddir,ltor
info,windspeed,9
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,229
info,attendance,41329
info,wp,lestj001
info,lp,simsl001
info,save,
start,incie001,"Ender Inciarte",0,1,8
start,albio001,"Ozzie Albies",0,2,4
start,freef001,"Freddie Freeman",0,3,3
start,kempm001,"Matt Kemp",0,4,7
start,markn001,"Nick Markakis",0,5,9
start,suzuk001,"Kurt Suzuki",0,6,2
play,8,0,petej002,30,BBBB,W.1-2
play,8,0,albio001,00,,NP
sub,edwac001,"Carl Edwards",1,9,1
play,8,0,albio001,32,.CBF*BBFX,9/L+.2-3
play,8,0,freef001,00,X,D7/F.3-H;1-3
play,8,0,kempm001,11,FBX,53/G.3-H
play,8,0,markn001,32,CSBFBBC,K
play,8,1,zobrb001,21,CBBX,43/G
play,8,1,baezj001,01,CX,63/G
play,8,1,heywj001,20,BBX,HR/89/L
play,8,1,river003,12,CFBFFC,K
play,9,0,suzuk001,00,,NP
sub,duenb001,"Brian Duensing",1,9,1
play,9,0,suzuk001,32,.BBCCBX,S7/L
play,9,0,swand001,10,*BB,PB.1-2
play,9,0,swand001,21,*BB.CX,S4/G.2-3
com,"$Braves challenged call that Swanson was out at 1st; call"
com,"was overturned - safe for single"
play,9,0,johnj010,00,,NP
sub,adamm002,"Matt Adams",0,8,11
play,9,0,adamm002,01,.CX,46(1)/FO/G.3-H
play,9,0,adaml001,00,,NP
sub,daviw001,"Wade Davis",1,9,1
play,9,0,adaml001,22,.*BBF>F>X,63/G-.1-2
play,9,0,petej002,21,*B*BFX,D9/L+.2-H
play,9,0,albio001,00,B,WP.2-3
play,9,0,albio001,32,B.C*BFFBFX,S9/G.3-H
play,9,0,freef001,00,>B,DI.1-2
play,9,0,freef001,22,>B.CBFS,K
data,er,simsl001,7
data,er,kroli001,3
data,er,jackl001,3
data,er,frees001,0
data,er,johnj010,1
data,er,lestj001,4
data,er,rondh001,0
data,er,wilsj004,3
data,er,uehak001,0
data,er,penaf002,2
data,er,edwac001,0
data,er,duenb001,2
data,er,daviw001,1
