id,CHN201709090
version,2
info,visteam,MIL
info,hometeam,CHN
info,site,CHI11
info,date,2017/09/09
info,number,0
info,starttime,3:06PM
info,daynight,day
info,usedh,false
info,umphome,kulpr901
info,ump1b,conrc901
info,ump2b,blakr901
info,ump3b,mealj901
info,howscored,park
info,pitches,pitches
info,oscorer,speaa701
info,temp,70
info,winddir,fromrf
info,windspeed,15
info,fieldcond,unknown
info,precip,unknown
info,sky,sunny
info,timeofgame,189
info,attendance,41167
info,wp,andec001
info,lp,montm002
info,save,
start,pereh001,"Hernan Perez",0,1,4
start,santd002,"Domingo Santana",0,2,9
start,braur002,"Ryan Braun",0,3,7
start,shawt001,"Travis Shaw",0,4,5
start,aguij001,"Jesus Aguilar",0,5,3
start,pinam001,"Manny Pina",0,6,2
play,8,0,berrq001,01,.CB,WP.3-H(NR);1-2
play,8,0,berrq001,32,.CB.BSBFC,K
play,8,0,pereh001,02,CCS,K
play,8,1,happi001,00,,NP
sub,philb002,"Brett Phillips",0,4,9
play,8,1,happi001,00,,NP
sub,berrq001,"Quintin Berry",0,9,7
play,8,1,happi001,00,,NP
sub,guerj003,"Junior Guerra",0,2,1
play,8,1,happi001,22,...FSBBFS,K
play,8,1,schwk001,32,BSCBBX,HR/9/F
play,8,1,lastt001,10,BX,7/F
play,8,1,carav001,22,SBFBS,K
play,9,0,guerj003,00,,NP
sub,penaf002,"Felix Pena",1,6,1
play,9,0,guerj003,00,,NP
sub,susaa001,"Andrew Susac",0,2,11
play,9,0,susaa001,31,..BBCBX,3/P
play,9,0,sogae001,11,BCX,3/G-
play,9,0,philb002,22,BTBFS,K
play,9,1,zobrb001,00,,NP
sub,willt003,"Taylor Williams",0,2,1
play,9,1,zobrb001,12,.BCCX,S8/G
play,9,1,almoa002,22,*BFFBX,7/L
play,9,1,penaf002,01,FX,31/G.1-2
play,9,1,martl004,12,BFCFX,D9/L+.2-H
play,9,1,freem002,12,CBFS,K
data,er,andec001,0
data,er,drako001,0
data,er,torrc001,0
data,er,guerj003,1
data,er,willt003,1
data,er,montm002,4
data,er,grimj002,4
data,er,zastr001,5
data,er,mapld001,1
data,er,penaf002,0
